"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5339","Отображается список товаров в выбранном ценовом диапазоне.","chromium","Thu Apr 17 22:29:10 GMT 2025","passed","Thu Apr 17 22:29:15 GMT 2025","Тесты в рамках ДЗ №16 по academybugs","tests.spec.js","",""
"","4451","Изображение продукта полностью заполняет поле, как и все остальные изображения продуктов.","chromium","Thu Apr 17 22:28:37 GMT 2025","passed","Thu Apr 17 22:28:42 GMT 2025","Тесты в рамках ДЗ №16 по academybugs","tests.spec.js","",""
"","5809","Заголовок поля пароля выравнивается так же, как и поле выше.","chromium","Thu Apr 17 22:29:29 GMT 2025","passed","Thu Apr 17 22:29:35 GMT 2025","Тесты в рамках ДЗ №16 по academybugs","tests.spec.js","",""
"","3007","Валюта изменена, как и ожидалось.","chromium","Thu Apr 17 22:29:07 GMT 2025","passed","Thu Apr 17 22:29:10 GMT 2025","Тесты в рамках ДЗ №16 по academybugs","tests.spec.js","",""
"","5275","Краткое описание и описание продукта на английском языке.","chromium","Thu Apr 17 22:28:42 GMT 2025","passed","Thu Apr 17 22:28:47 GMT 2025","Тесты в рамках ДЗ №16 по academybugs","tests.spec.js","",""
"","3166","Комментарий размещается под продуктом.","chromium","Thu Apr 17 22:28:53 GMT 2025","passed","Thu Apr 17 22:28:56 GMT 2025","Тесты в рамках ДЗ №16 по academybugs","tests.spec.js","",""
"","5094","Значок Twitter должен перенаправлять пользователя в Twitter.","chromium","Thu Apr 17 22:29:02 GMT 2025","passed","Thu Apr 17 22:29:07 GMT 2025","Тесты в рамках ДЗ №16 по academybugs","tests.spec.js","",""
"","5690","Желтый и оранжевый цвета написаны правильно.","chromium","Thu Apr 17 22:28:47 GMT 2025","passed","Thu Apr 17 22:28:53 GMT 2025","Тесты в рамках ДЗ №16 по academybugs","tests.spec.js","",""
"","7199","Надпись кнопки «Войти» располагается по центру вертикально.","chromium","Thu Apr 17 22:29:15 GMT 2025","passed","Thu Apr 17 22:29:23 GMT 2025","Тесты в рамках ДЗ №16 по academybugs","tests.spec.js","",""
"","6745","Текст в разделе «Новый пользователь» на английском языке.","chromium","Thu Apr 17 22:29:23 GMT 2025","passed","Thu Apr 17 22:29:29 GMT 2025","Тесты в рамках ДЗ №16 по academybugs","tests.spec.js","",""
"","2725","Выбранное количество результатов отображается в соответствии с нажатыми кнопками.","chromium","Thu Apr 17 22:28:34 GMT 2025","passed","Thu Apr 17 22:28:37 GMT 2025","Тесты в рамках ДЗ №16 по academybugs","tests.spec.js","",""
"","6201","Ссылка на производителя показывает соответствующую страницу.","chromium","Thu Apr 17 22:28:56 GMT 2025","passed","Thu Apr 17 22:29:02 GMT 2025","Тесты в рамках ДЗ №16 по academybugs","tests.spec.js","",""
